rowIndex,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,hasClaim
85,0.042,147,1,1,0,32,1,31,0,72,5,10,2,1,6,4,12,1,0
86,0.237,418,2,1,0,44,1,56,0,72,5,11,2,1,5,2,6,1,0
87,0.833,62,1,1,0,32,0,31,0,85,1,12,4,3,8,4,16,2,0
88,0.28600000000000003,591,3,1,0,39,0,68,0,50,2,5,5,3,1,1,5,1,0
89,0.833,243,6,1,0,32,1,50,0,64,4,13,5,1,3,3,15,2,0
90,0.057,157,0,1,0,32,2,36,0,60,6,17,2,1,4,3,12,2,0
91,0.8270000000000001,93,0,1,1,32,1,33,0,100,2,3,5,3,1,1,18,1,0
92,0.166,324,7,0,1,32,0,53,0,50,5,6,4,3,5,2,20,1,0
93,0.7490000000000001,245,2,0,1,32,0,39,0,50,5,6,4,3,7,2,20,1,0
94,0.083,404,7,1,0,29,2,53,0,50,8,9,4,1,0,0,11,1,0
95,0.249,243,0,0,0,20,0,38,1,50,5,5,4,3,5,1,15,0,0
96,0.583,510,3,0,0,32,0,64,0,85,5,12,2,1,7,5,15,1,0
97,0.39399999999999996,141,4,1,0,32,1,31,0,80,5,9,4,3,7,4,8,1,0
98,0.083,97,8,1,1,10,1,26,0,80,8,4,4,1,3,2,7,1,0
99,0.439,368,3,1,0,39,0,76,1,61,7,9,4,3,8,4,19,1,0
100,0.166,449,3,0,0,29,2,56,0,50,4,13,2,1,4,3,7,1,0
101,0.002,212,0,1,0,27,1,42,0,64,8,11,2,1,3,0,10,1,0
102,0.845,177,4,0,1,32,1,33,0,54,5,5,4,3,5,2,12,1,0
103,0.41600000000000004,115,3,1,1,32,1,27,0,76,5,4,4,3,3,2,15,1,0
104,0.33299999999999996,394,4,1,1,32,1,51,0,50,5,6,4,3,5,2,4,1,0
105,1.0,325,2,0,1,32,1,45,0,60,5,4,4,3,4,1,5,1,0
106,0.5770000000000001,146,0,1,0,32,1,33,0,54,3,9,4,3,6,4,16,1,0
107,0.155,546,0,1,0,39,0,63,1,50,5,11,4,3,6,2,16,0,0
108,0.419,286,8,1,0,32,2,53,0,50,8,12,5,1,1,0,11,1,0
109,0.499,193,8,1,0,20,0,47,0,61,5,8,1,3,6,5,8,1,0
110,0.25,109,1,1,0,32,2,27,0,85,5,7,4,3,6,2,17,0,0
111,0.05,422,8,1,0,32,1,61,1,50,5,12,4,3,7,5,11,1,0
112,0.46799999999999997,255,5,1,0,25,1,42,0,72,6,12,4,3,4,3,8,2,0
113,0.9159999999999999,127,6,0,1,32,1,33,0,57,5,4,4,3,3,2,15,1,0
114,0.499,146,3,1,0,32,1,30,0,76,5,11,2,1,5,2,12,1,0
115,0.113,233,6,1,0,32,1,38,0,50,5,7,4,3,6,4,10,1,0
116,0.503,129,1,1,1,32,0,29,1,58,1,12,4,3,8,4,16,1,0
117,0.374,106,0,1,0,34,1,30,0,60,1,13,2,1,7,4,13,2,0
118,0.259,399,0,1,1,32,1,57,0,50,5,6,2,1,4,2,18,1,0
119,0.525,603,2,1,0,39,0,75,1,64,1,11,4,3,7,4,15,0,0
120,0.256,548,1,0,0,39,0,64,0,50,6,17,4,3,6,3,4,0,0
121,0.249,324,7,1,0,39,0,79,1,50,5,6,4,3,5,4,15,1,0
122,0.222,155,7,0,0,34,0,33,1,68,5,1,4,3,2,2,9,1,0
123,0.436,430,8,1,0,0,0,54,0,50,2,22,4,3,9,3,18,0,0
124,0.583,369,1,0,0,0,2,50,0,50,5,9,4,3,6,4,12,0,0
125,0.083,116,2,1,1,32,1,32,0,90,5,7,2,1,4,2,17,1,0
126,0.303,159,8,1,0,34,1,32,1,54,2,20,4,3,9,3,6,0,0
127,0.23,263,7,1,0,32,1,47,0,50,4,12,4,3,4,3,12,1,0
128,0.7490000000000001,200,0,1,0,32,1,35,0,50,2,10,4,3,8,4,11,0,0
129,0.33299999999999996,83,8,0,0,0,2,30,0,80,5,3,1,3,3,2,11,1,0
130,0.6659999999999999,311,8,1,0,32,0,44,0,50,1,20,4,3,8,3,9,2,0
131,0.728,311,3,0,0,20,0,44,0,50,5,10,4,3,7,4,16,1,0
132,0.249,240,3,0,0,32,2,39,0,64,5,6,4,3,6,2,15,1,0
133,0.833,28,4,0,0,10,1,26,0,100,7,6,4,3,6,4,11,1,0
134,0.25,488,3,1,0,32,0,59,0,96,5,10,4,3,6,4,20,1,0
135,0.345,405,0,1,0,44,1,52,0,50,5,6,4,3,4,1,16,1,0
136,0.166,270,6,1,0,32,1,45,0,68,7,10,5,1,4,5,19,1,0
137,0.304,104,3,1,0,32,0,27,1,80,5,7,4,3,7,2,19,1,0
138,1.0,187,6,1,0,32,1,33,0,51,4,11,5,1,4,5,13,1,0
139,0.535,264,0,1,0,32,1,40,0,50,7,12,2,1,7,5,12,1,0
140,0.297,195,7,1,0,0,2,43,0,76,7,11,4,3,7,5,1,2,0
141,0.419,107,7,0,0,32,0,32,0,95,5,8,4,3,5,4,3,0,0
142,0.5,302,1,0,0,34,1,44,0,50,5,6,2,1,4,2,13,1,0
143,0.499,714,5,1,0,39,0,80,0,57,5,16,4,3,9,3,8,2,0
144,0.539,309,8,1,1,32,0,45,1,64,5,9,4,3,7,4,15,1,0
145,0.674,176,6,1,0,32,1,33,0,79,8,5,4,1,4,2,5,1,0
146,0.833,130,7,0,0,32,1,30,1,64,5,3,4,3,2,1,18,1,0
147,0.43,367,0,1,0,32,1,50,0,60,5,10,4,3,8,5,12,2,0
148,0.113,296,8,0,1,32,1,44,0,100,5,8,4,1,4,5,18,1,0
149,0.002,129,3,0,0,34,1,30,0,85,5,8,4,3,8,2,8,1,0
150,0.311,202,7,1,1,32,1,39,0,64,5,8,4,3,4,4,19,1,0
151,0.6659999999999999,277,7,0,0,32,1,43,0,50,7,4,4,3,2,4,19,1,0
152,0.499,681,8,1,0,29,2,77,0,58,8,7,1,3,5,5,6,1,0
153,0.166,149,3,0,1,0,2,31,0,76,5,4,4,3,4,2,8,0,0
154,0.41600000000000004,137,6,0,1,32,0,29,0,90,8,5,4,1,3,2,13,0,0
155,0.311,37,0,0,0,32,0,36,0,85,5,6,4,3,4,2,17,1,0
156,0.586,149,2,0,0,32,1,30,0,64,5,7,4,3,7,2,9,1,0
157,0.583,119,5,0,0,32,0,29,0,76,5,10,4,3,6,2,13,0,0
158,0.24600000000000002,598,7,1,0,39,0,73,0,54,5,14,4,3,8,3,9,2,0
159,0.14,480,4,0,0,39,0,59,0,50,5,4,4,3,2,1,15,1,0
160,0.506,171,0,0,1,32,1,32,0,60,5,6,4,3,4,2,3,1,0
161,0.9159999999999999,208,1,1,0,32,1,36,0,50,5,9,2,1,5,4,19,0,0
162,0.833,260,6,1,0,32,1,44,0,72,7,10,5,1,4,5,19,1,0
163,0.249,98,3,0,1,10,1,26,0,90,5,6,4,3,4,1,16,1,0
164,0.5,28,1,0,1,32,0,40,0,95,8,11,4,1,0,0,18,1,0
165,0.41600000000000004,558,0,1,0,32,0,65,0,50,4,14,2,1,6,3,14,0,0
166,0.445,202,2,0,0,32,0,36,0,64,5,7,4,3,6,4,15,1,0
167,0.166,164,1,1,1,32,0,31,0,95,2,3,5,3,1,1,18,1,0
168,0.045,409,5,1,0,27,0,54,1,95,4,10,4,3,6,4,19,2,0
169,0.33299999999999996,333,7,1,0,32,2,46,0,50,5,13,4,3,8,5,17,1,0
170,0.083,142,5,1,1,32,1,30,0,72,5,11,2,1,7,4,12,0,0
171,0.833,160,3,1,0,0,1,41,0,57,4,9,4,3,5,4,17,0,0
172,0.33299999999999996,143,7,1,0,32,0,31,0,68,5,4,4,3,2,2,19,1,0
173,0.7490000000000001,392,6,0,0,29,0,50,0,50,4,15,5,1,5,3,18,1,0
174,0.027999999999999997,191,7,1,0,32,1,33,0,95,5,7,5,1,5,2,6,1,0
175,0.436,461,0,1,0,32,1,64,0,50,2,14,4,3,8,3,7,2,0
176,0.486,185,6,1,0,34,0,33,0,72,4,10,4,3,6,4,3,1,0
177,0.083,75,6,0,1,32,1,36,1,72,5,3,4,3,2,2,15,1,0
178,0.083,247,2,0,0,32,1,48,1,50,5,9,2,1,5,2,16,2,0
179,0.113,509,2,0,0,39,0,61,0,100,5,10,4,3,6,2,17,1,0
180,0.8640000000000001,146,8,1,0,32,1,36,0,139,6,17,5,1,4,3,11,1,0
181,0.9390000000000001,324,3,1,0,34,1,45,0,77,3,14,4,3,6,3,8,0,0
182,0.005,520,0,1,0,44,2,61,0,64,2,16,2,1,9,3,16,2,0
183,0.39,107,3,1,1,29,2,27,0,95,1,17,4,3,9,3,16,0,0
184,0.519,291,5,0,0,32,1,46,0,58,5,4,4,3,3,1,14,1,0
185,0.5,80,8,1,1,32,1,25,0,80,5,6,1,3,4,4,7,1,0
186,0.61,457,2,1,0,32,2,56,0,50,3,16,4,3,8,3,14,2,0
187,0.256,432,0,1,0,32,2,56,0,50,5,12,2,1,8,4,17,1,0
188,0.297,96,8,1,0,32,2,32,0,64,5,3,4,3,2,1,13,1,0
189,0.6659999999999999,528,1,1,0,39,0,63,0,50,5,15,2,1,8,5,12,2,0
190,0.052000000000000005,297,7,0,0,32,1,44,0,60,5,13,4,3,6,5,5,1,0
191,0.5,231,1,0,0,32,1,38,0,50,5,9,4,3,6,2,17,0,0
192,0.348,130,7,0,1,32,1,28,1,76,5,4,1,3,3,4,15,2,0
193,0.75,75,6,1,0,32,1,24,0,100,5,4,4,3,4,2,16,1,0
194,0.75,424,2,1,0,32,0,54,0,70,5,4,4,1,3,2,16,1,0
195,0.5,460,8,1,0,29,2,56,0,50,5,12,4,1,2,3,16,1,0
196,0.725,528,0,1,0,25,3,63,0,50,0,11,2,1,6,4,20,1,0
197,0.514,406,3,1,0,32,1,53,1,50,5,8,4,3,8,2,11,1,0
198,1.0,139,3,1,0,32,1,29,0,60,5,9,4,3,7,5,17,1,0
199,0.41600000000000004,177,5,1,0,32,0,33,0,50,5,8,4,3,8,2,7,2,0
200,0.605,203,3,0,0,34,1,36,0,80,5,6,4,3,4,2,17,1,0
201,0.728,75,2,1,1,32,1,24,0,85,5,4,4,3,3,2,18,2,0
202,0.41600000000000004,424,5,0,0,32,0,56,0,52,5,10,2,1,6,4,16,0,0
203,0.9159999999999999,13,4,1,1,32,1,24,0,95,7,7,4,1,2,4,14,1,0
204,0.25,466,2,0,0,32,1,61,0,50,5,3,4,3,3,1,11,1,0
205,0.349,182,8,1,1,32,0,36,1,50,5,0,1,3,1,1,13,1,0
206,0.87,131,7,1,0,32,1,59,0,57,8,8,4,1,0,0,12,1,0
207,0.402,468,3,1,0,32,2,59,0,50,5,16,4,3,9,3,17,0,0
208,0.083,116,1,1,0,32,1,31,0,64,4,11,2,1,5,4,12,1,0
209,0.75,314,1,0,0,32,0,45,0,52,5,5,4,3,4,1,16,0,0
210,0.5489999999999999,253,2,1,0,0,2,45,0,50,5,14,2,1,8,5,13,1,0
211,0.057999999999999996,452,5,0,0,32,1,70,1,100,5,5,4,3,3,2,19,1,0
212,0.083,181,2,1,0,32,0,33,0,50,5,8,2,1,4,2,15,2,0
213,0.8270000000000001,396,3,1,0,34,1,53,0,50,7,10,2,1,6,4,19,0,0
214,0.166,424,1,1,0,7,2,53,0,65,8,7,4,1,1,0,18,1,0
215,0.53,770,7,1,0,39,0,85,1,50,7,9,5,1,5,4,14,1,0
216,0.172,39,8,1,1,32,0,28,0,95,5,6,4,3,4,2,16,0,0
217,0.41600000000000004,228,7,0,0,32,1,38,0,90,5,11,4,3,8,5,19,1,0
218,0.083,260,8,1,0,32,1,52,0,80,5,10,1,3,6,3,20,1,0
219,0.6579999999999999,80,8,1,1,32,2,24,0,80,5,12,4,3,7,5,17,1,0
220,0.7490000000000001,31,3,0,1,10,1,22,0,90,5,5,4,3,4,1,7,1,0
221,0.5,698,0,1,0,39,0,76,0,50,5,10,4,3,8,4,16,1,0
222,0.057,560,3,1,0,39,0,65,0,58,5,4,4,3,2,1,16,2,0
223,0.608,399,2,0,0,32,0,52,0,50,5,3,4,3,4,2,3,1,0
224,0.9159999999999999,131,0,0,0,32,0,29,0,60,5,10,4,3,6,2,2,1,0
225,0.5379999999999999,179,5,1,0,32,1,33,0,50,5,10,2,1,7,4,15,0,0
226,1.0,467,6,1,0,32,0,57,0,68,5,15,4,3,9,3,8,0,0
227,0.41600000000000004,624,6,1,0,39,0,70,0,50,5,19,4,3,9,3,4,2,0
228,0.525,328,0,1,0,39,0,64,0,50,6,15,2,1,4,3,18,2,0
229,0.583,44,2,1,1,10,1,22,0,100,1,9,4,3,8,2,17,2,0
230,0.083,307,7,1,1,32,2,43,0,60,5,10,2,1,5,4,11,1,0
231,0.535,409,6,0,0,32,1,53,0,72,5,3,4,3,2,2,15,0,0
232,0.41600000000000004,128,6,1,1,32,0,29,0,68,5,10,2,1,5,4,3,0,0
233,0.456,253,6,1,0,32,1,42,0,50,5,15,5,1,8,5,19,1,0
234,0.083,481,2,1,0,32,1,64,0,50,5,12,2,1,8,5,14,1,0
235,0.75,142,3,1,1,32,1,30,0,68,5,15,4,3,8,3,18,1,0
236,0.023,485,3,1,0,39,0,61,0,100,8,11,2,1,3,0,1,1,0
237,0.061,36,4,1,0,32,0,22,0,95,5,8,2,1,5,2,15,1,0
238,0.008,152,0,1,0,32,1,36,0,72,5,10,2,1,7,5,13,0,0
239,0.764,298,0,0,0,34,0,43,1,50,5,7,4,3,4,2,4,0,0
240,0.083,463,2,0,0,39,0,56,0,50,4,13,2,1,5,5,19,0,0
241,0.083,93,8,1,1,10,1,28,0,80,5,7,1,3,6,5,20,1,0
242,0.833,228,3,0,0,32,1,38,1,50,5,4,4,3,4,1,16,1,0
243,0.961,364,4,1,0,32,0,51,1,50,1,15,5,3,8,3,16,0,0
244,0.25,466,2,0,0,32,1,61,0,50,5,3,4,3,3,1,11,1,0
245,0.583,286,6,1,0,34,0,42,0,57,3,8,4,3,3,4,12,0,0
246,0.95,72,8,1,0,29,1,26,0,100,8,6,4,1,1,0,14,1,0
247,0.502,319,8,1,0,32,1,54,0,68,5,8,4,1,3,3,17,1,0
248,1.0,139,1,0,0,0,2,37,0,95,5,9,4,3,6,4,11,0,0
249,0.485,474,2,1,0,32,1,57,0,50,5,4,4,3,4,1,18,0,0
250,0.833,250,8,1,0,29,0,54,0,50,6,13,1,3,3,3,15,2,0
251,0.445,187,3,1,0,32,2,35,0,59,6,15,2,1,9,5,17,0,0
252,0.33299999999999996,244,0,1,0,32,1,42,0,50,1,9,4,3,6,2,18,0,0
253,0.49,728,3,0,0,39,0,81,1,50,5,4,4,3,2,1,7,1,0
254,0.249,241,4,1,0,32,1,39,0,72,5,6,4,3,3,2,12,1,0
255,0.5660000000000001,37,8,0,1,10,1,21,1,85,5,2,1,3,2,2,14,1,0
256,0.184,155,1,0,1,32,1,33,0,51,6,12,2,1,4,5,14,1,0
257,0.083,189,5,1,0,32,2,35,0,76,5,6,4,1,4,2,13,1,0
258,0.19399999999999998,651,4,1,1,39,0,74,0,50,5,10,4,3,6,4,17,1,0
259,0.003,161,7,0,1,32,1,41,0,51,5,10,4,3,7,5,20,1,0
260,0.499,125,1,1,0,34,1,28,0,71,7,8,2,1,3,4,14,1,0
261,0.6759999999999999,84,6,1,1,32,1,25,0,80,5,6,4,3,5,4,8,1,0
262,0.008,130,3,1,1,0,1,30,0,85,5,4,4,3,3,2,3,1,0
263,0.042,280,0,1,0,32,2,42,0,85,6,16,4,3,5,3,16,0,0
264,0.9159999999999999,88,0,0,0,10,1,26,0,68,5,7,2,1,4,2,5,1,0
265,0.966,470,1,0,0,39,0,62,0,90,5,5,4,3,4,2,15,1,0
266,0.8420000000000001,557,2,1,0,32,1,67,0,50,1,24,4,3,9,3,8,0,0
267,0.262,93,1,0,0,32,1,26,0,68,5,7,2,1,4,2,20,1,0
268,0.083,537,1,1,0,44,1,63,1,80,5,14,2,1,8,5,9,1,0
269,0.9159999999999999,517,2,1,0,0,2,62,0,50,5,15,5,3,9,3,15,0,0
270,0.499,422,6,0,0,39,0,71,1,64,5,3,4,3,3,1,16,2,0
271,0.248,82,3,1,0,32,1,26,0,118,5,5,4,3,5,2,18,1,0
272,0.513,502,0,1,0,39,0,70,1,50,5,9,4,3,8,4,7,0,0
273,0.41600000000000004,391,1,0,0,4,2,52,0,50,5,9,4,3,6,4,13,1,0
274,0.833,178,1,0,0,32,0,33,0,58,5,11,2,1,6,4,19,1,0
275,0.499,336,6,1,0,32,2,50,0,50,3,9,4,3,4,4,18,1,0
276,0.435,504,1,1,0,44,2,61,0,50,5,15,5,3,9,3,9,2,0
277,0.40700000000000003,108,1,1,1,32,1,30,0,100,5,9,4,3,7,2,7,1,0
278,0.25,560,1,0,0,39,0,73,0,50,5,10,4,3,6,5,12,1,0
279,0.9159999999999999,448,6,1,0,32,2,56,0,50,5,14,2,1,7,5,16,1,0
280,0.5489999999999999,112,8,1,1,32,1,29,0,95,5,0,1,3,1,1,15,1,0
281,0.39,107,3,1,1,29,2,27,0,95,1,17,4,3,9,3,16,0,0
282,0.508,168,3,0,0,32,2,32,0,63,5,3,4,3,3,1,17,1,0
283,0.499,271,8,1,1,32,0,40,0,50,4,13,4,3,5,3,14,1,0
284,0.11699999999999999,253,5,1,0,0,2,51,0,76,5,6,4,3,4,4,13,1,0
285,0.166,269,1,1,0,25,2,40,0,62,3,15,2,1,6,3,15,0,0
286,1.0,342,3,1,0,29,2,47,0,50,4,10,4,3,7,4,11,1,0
287,0.33299999999999996,135,0,1,0,32,1,29,0,76,4,11,2,1,6,5,10,1,0
288,0.083,200,8,1,0,34,0,36,0,64,5,8,4,3,6,5,5,0,0
289,0.344,230,8,1,0,34,1,40,0,60,5,8,4,1,3,5,20,1,0
290,0.5920000000000001,160,2,1,1,32,1,32,0,90,5,4,4,3,3,2,8,1,0
291,0.079,43,3,1,1,34,1,22,0,85,5,3,4,3,4,2,12,1,0
292,0.602,424,1,1,0,32,0,55,0,50,3,11,2,1,5,4,20,1,0
293,0.643,250,2,1,0,32,0,41,0,100,8,4,4,1,2,4,11,1,0
294,0.25,269,7,1,0,32,1,42,0,54,3,12,5,3,7,3,18,1,0
295,0.33299999999999996,34,3,1,0,32,1,35,0,90,7,8,2,1,5,4,19,1,0
296,0.41600000000000004,337,8,1,0,32,0,59,1,50,2,18,4,3,9,3,16,2,0
297,0.9,119,4,1,0,34,0,28,0,64,5,2,4,3,3,2,15,1,0
298,0.499,593,4,1,0,39,0,75,1,50,7,9,2,1,6,4,11,1,0
299,0.47200000000000003,172,2,1,1,0,2,33,0,90,1,8,4,3,7,2,14,1,0
300,1.0,428,1,1,0,0,2,53,0,52,6,15,2,1,8,5,9,0,0
301,0.305,1,6,0,1,10,1,20,0,100,5,5,4,1,4,4,20,0,0
302,0.6659999999999999,147,7,0,1,32,0,34,1,72,5,6,4,1,4,2,20,1,0
303,0.555,1,5,0,0,32,1,30,0,100,5,4,4,3,3,2,17,1,0
304,0.064,218,2,0,1,32,0,41,0,60,5,5,4,3,4,2,17,2,0
305,0.33299999999999996,210,1,1,0,32,1,37,0,50,5,12,2,1,8,4,15,1,0
306,0.6659999999999999,181,2,1,0,34,0,39,0,57,5,5,4,3,4,2,17,1,0
307,0.166,307,0,0,0,32,1,52,0,85,5,7,4,3,4,2,16,1,0
308,0.7390000000000001,444,1,0,1,32,1,56,1,50,5,6,4,3,6,2,7,1,0
309,0.33299999999999996,643,8,1,0,39,0,72,0,50,5,2,1,3,2,2,6,1,0
310,0.249,81,0,0,1,32,0,25,1,90,5,14,2,1,8,5,11,0,0
311,0.166,94,3,0,1,10,1,27,0,139,5,5,4,3,3,1,3,1,0
312,0.9159999999999999,154,7,1,0,32,1,31,0,54,5,0,4,3,2,2,19,1,0
313,0.483,580,0,1,0,39,0,81,0,50,5,7,4,3,5,2,16,2,0
314,0.583,486,6,1,0,32,1,58,0,50,3,10,4,3,6,4,14,1,0
315,0.452,434,4,0,0,25,2,56,0,86,5,7,4,3,7,2,16,1,0
316,0.166,139,7,1,0,32,1,52,0,76,5,13,5,1,5,3,20,1,0
317,0.33299999999999996,127,2,1,1,32,1,29,0,90,5,6,4,3,4,2,15,1,0
