rowIndex,feature1,feature2,feature6,feature8,feature10,feature11,feature12,feature15,feature16,feature17,ClaimAmount
52526.0,1.0,342.0,29.0,47.0,50.0,4.0,10.0,7.0,4.0,11.0,145.70542416570717
52527.0,0.6659999999999999,422.0,32.0,54.0,50.0,5.0,11.0,8.0,5.0,11.0,145.70542416570717
52528.0,0.22899999999999998,179.0,32.0,33.0,100.0,5.0,10.0,7.0,5.0,11.0,42.28214674587273
52529.0,0.6659999999999999,680.0,39.0,76.0,50.0,5.0,8.0,6.0,4.0,8.0,145.70542416570717
52530.0,0.41600000000000004,110.0,32.0,31.0,100.0,5.0,1.0,1.0,1.0,19.0,145.70542416570717
52531.0,0.833,528.0,32.0,64.0,50.0,5.0,6.0,4.0,2.0,15.0,145.70542416570717
52532.0,0.147,102.0,32.0,26.0,90.0,5.0,7.0,5.0,2.0,17.0,42.28214674587273
52533.0,0.456,343.0,32.0,48.0,50.0,5.0,7.0,4.0,2.0,15.0,145.70542416570717
52534.0,0.583,541.0,20.0,67.0,50.0,5.0,4.0,4.0,2.0,16.0,145.70542416570717
52535.0,0.249,243.0,34.0,48.0,66.0,5.0,15.0,8.0,3.0,16.0,47.11130499174733
52536.0,0.040999999999999995,230.0,32.0,38.0,51.0,7.0,15.0,8.0,3.0,17.0,42.28214674587273
52537.0,0.45,536.0,32.0,63.0,72.0,5.0,8.0,6.0,2.0,6.0,145.70542416570717
52538.0,0.33299999999999996,437.0,25.0,57.0,50.0,8.0,7.0,2.0,4.0,12.0,140.50445246814928
52539.0,0.034,192.0,32.0,38.0,118.0,7.0,2.0,2.0,1.0,16.0,42.28214674587273
52540.0,0.113,179.0,32.0,37.0,68.0,5.0,8.0,6.0,2.0,20.0,42.28214674587273
52541.0,0.083,373.0,32.0,55.0,81.0,0.0,10.0,5.0,4.0,15.0,42.28214674587273
52542.0,0.337,241.0,32.0,45.0,100.0,5.0,6.0,4.0,2.0,11.0,140.50445246814928
52543.0,0.45,536.0,32.0,63.0,72.0,5.0,8.0,6.0,2.0,6.0,145.70542416570717
52544.0,0.23600000000000002,526.0,39.0,67.0,50.0,7.0,9.0,4.0,4.0,16.0,42.28214674587273
52545.0,0.25,231.0,32.0,40.0,56.0,5.0,5.0,4.0,2.0,16.0,47.11130499174733
52546.0,0.11699999999999999,199.0,32.0,38.0,50.0,3.0,12.0,3.0,3.0,19.0,42.28214674587273
52547.0,0.203,321.0,34.0,55.0,50.0,5.0,5.0,3.0,2.0,13.0,42.28214674587273
52548.0,0.517,558.0,39.0,65.0,50.0,5.0,6.0,4.0,2.0,12.0,145.70542416570717
52549.0,0.249,110.0,10.0,27.0,64.0,7.0,9.0,4.0,5.0,15.0,47.11130499174733
52550.0,0.151,101.0,32.0,30.0,80.0,5.0,8.0,4.0,4.0,7.0,42.28214674587273
52551.0,0.583,176.0,32.0,40.0,125.0,5.0,7.0,5.0,4.0,12.0,145.70542416570717
52552.0,0.9390000000000001,83.0,32.0,26.0,72.0,5.0,3.0,3.0,1.0,12.0,145.70542416570717
52553.0,0.013000000000000001,483.0,39.0,70.0,54.0,5.0,8.0,5.0,4.0,15.0,42.28214674587273
52554.0,0.499,523.0,39.0,62.0,50.0,4.0,9.0,4.0,4.0,14.0,145.70542416570717
52555.0,0.961,262.0,39.0,70.0,50.0,5.0,3.0,3.0,1.0,16.0,145.70542416570717
52556.0,0.6759999999999999,343.0,32.0,55.0,50.0,8.0,10.0,0.0,0.0,18.0,145.70542416570717
52557.0,0.46399999999999997,174.0,34.0,33.0,54.0,5.0,9.0,6.0,4.0,11.0,145.70542416570717
52558.0,0.311,321.0,32.0,45.0,50.0,6.0,17.0,6.0,3.0,3.0,140.50445246814928
52559.0,0.99,332.0,32.0,49.0,50.0,5.0,5.0,3.0,1.0,20.0,145.70542416570717
52560.0,0.017,545.0,39.0,63.0,50.0,4.0,12.0,6.0,4.0,1.0,42.28214674587273
52561.0,0.452,536.0,34.0,70.0,50.0,5.0,3.0,3.0,2.0,8.0,145.70542416570717
52562.0,0.583,203.0,29.0,43.0,50.0,8.0,5.0,1.0,4.0,7.0,145.70542416570717
52563.0,0.342,610.0,39.0,72.0,50.0,5.0,9.0,5.0,4.0,7.0,145.70542416570717
52564.0,0.728,480.0,39.0,68.0,50.0,5.0,8.0,5.0,5.0,6.0,145.70542416570717
52565.0,0.289,156.0,32.0,31.0,85.0,5.0,6.0,7.0,2.0,7.0,88.34888328943308
52566.0,0.856,476.0,32.0,58.0,65.0,1.0,5.0,1.0,1.0,8.0,145.70542416570717
52567.0,0.083,497.0,0.0,61.0,90.0,5.0,7.0,6.0,4.0,9.0,42.28214674587273
52568.0,0.47600000000000003,295.0,32.0,43.0,90.0,5.0,10.0,5.0,3.0,3.0,145.70542416570717
52569.0,0.312,418.0,32.0,57.0,50.0,5.0,1.0,2.0,1.0,16.0,140.50445246814928
52570.0,0.9159999999999999,154.0,32.0,31.0,54.0,5.0,0.0,2.0,2.0,19.0,145.70542416570717
52571.0,0.166,524.0,39.0,63.0,50.0,5.0,3.0,3.0,2.0,15.0,42.28214674587273
52572.0,0.316,499.0,32.0,59.0,50.0,1.0,10.0,4.0,4.0,16.0,140.50445246814928
52573.0,0.564,176.0,32.0,35.0,50.0,5.0,12.0,8.0,4.0,18.0,145.70542416570717
52574.0,0.071,83.0,32.0,26.0,95.0,5.0,6.0,4.0,2.0,18.0,42.28214674587273
52575.0,0.415,116.0,32.0,31.0,64.0,6.0,12.0,5.0,5.0,11.0,145.70542416570717
52576.0,0.062,397.0,0.0,53.0,95.0,5.0,7.0,5.0,2.0,9.0,42.28214674587273
52577.0,0.882,493.0,32.0,59.0,50.0,7.0,7.0,2.0,4.0,9.0,145.70542416570717
52578.0,0.002,376.0,0.0,50.0,95.0,3.0,14.0,8.0,3.0,16.0,42.28214674587273
52579.0,0.141,639.0,39.0,74.0,50.0,5.0,11.0,7.0,2.0,14.0,42.28214674587273
52580.0,0.155,346.0,39.0,70.0,50.0,5.0,10.0,5.0,5.0,12.0,42.28214674587273
52581.0,0.33299999999999996,97.0,32.0,26.0,68.0,2.0,17.0,9.0,5.0,8.0,140.50445246814928
52582.0,0.042,354.0,32.0,48.0,50.0,5.0,9.0,5.0,2.0,12.0,42.28214674587273
52583.0,0.33299999999999996,119.0,32.0,28.0,95.0,5.0,7.0,5.0,4.0,16.0,140.50445246814928
52584.0,0.833,432.0,27.0,54.0,50.0,6.0,11.0,4.0,3.0,18.0,145.70542416570717
52585.0,0.9159999999999999,173.0,32.0,44.0,100.0,5.0,4.0,1.0,2.0,15.0,145.70542416570717
52586.0,0.262,126.0,29.0,29.0,72.0,5.0,5.0,4.0,1.0,4.0,71.432406386856
52587.0,0.166,564.0,39.0,77.0,50.0,7.0,8.0,6.0,5.0,15.0,42.28214674587273
52588.0,0.6779999999999999,122.0,25.0,28.0,72.0,7.0,15.0,8.0,5.0,8.0,145.70542416570717
52589.0,0.9420000000000001,499.0,39.0,78.0,50.0,5.0,4.0,4.0,2.0,16.0,145.70542416570717
52590.0,0.33299999999999996,215.0,32.0,35.0,95.0,1.0,8.0,7.0,2.0,15.0,140.50445246814928
52591.0,0.311,419.0,34.0,53.0,50.0,5.0,10.0,5.0,5.0,13.0,140.50445246814928
52592.0,0.083,119.0,32.0,31.0,85.0,5.0,4.0,3.0,2.0,18.0,42.28214674587273
52593.0,0.083,287.0,32.0,42.0,50.0,2.0,9.0,8.0,4.0,18.0,42.28214674587273
52594.0,0.046,326.0,32.0,46.0,50.0,5.0,3.0,2.0,2.0,5.0,42.28214674587273
52595.0,0.833,188.0,25.0,41.0,51.0,4.0,8.0,3.0,4.0,20.0,145.70542416570717
52596.0,0.833,240.0,32.0,38.0,80.0,5.0,1.0,1.0,0.0,11.0,145.70542416570717
52597.0,0.106,503.0,32.0,63.0,50.0,5.0,6.0,6.0,2.0,20.0,42.28214674587273
52598.0,0.833,524.0,32.0,62.0,80.0,8.0,0.0,0.0,0.0,17.0,145.70542416570717
52599.0,0.7490000000000001,457.0,34.0,57.0,50.0,1.0,9.0,5.0,1.0,5.0,145.70542416570717
52600.0,0.6609999999999999,389.0,39.0,75.0,50.0,2.0,2.0,2.0,2.0,15.0,145.70542416570717
52601.0,0.583,503.0,39.0,67.0,54.0,5.0,6.0,4.0,2.0,4.0,145.70542416570717
52602.0,0.11599999999999999,327.0,20.0,52.0,95.0,5.0,2.0,2.0,2.0,18.0,42.28214674587273
52603.0,0.053,99.0,0.0,27.0,64.0,5.0,3.0,1.0,2.0,1.0,42.28214674587273
52604.0,0.39899999999999997,146.0,0.0,30.0,72.0,1.0,18.0,9.0,5.0,9.0,145.70542416570717
52605.0,0.5,89.0,32.0,25.0,95.0,2.0,11.0,8.0,5.0,18.0,145.70542416570717
52606.0,0.579,167.0,32.0,32.0,64.0,5.0,5.0,4.0,2.0,11.0,145.70542416570717
52607.0,0.815,393.0,32.0,51.0,50.0,6.0,12.0,4.0,4.0,11.0,145.70542416570717
52608.0,0.499,101.0,32.0,26.0,95.0,2.0,12.0,7.0,3.0,20.0,145.70542416570717
52609.0,0.025,575.0,39.0,73.0,50.0,5.0,21.0,9.0,3.0,15.0,42.28214674587273
52610.0,0.525,76.0,25.0,33.0,118.0,5.0,3.0,0.0,1.0,17.0,145.70542416570717
52611.0,0.249,61.0,32.0,25.0,95.0,5.0,5.0,3.0,2.0,16.0,47.11130499174733
52612.0,0.083,345.0,32.0,54.0,50.0,5.0,11.0,7.0,5.0,17.0,42.28214674587273
52613.0,0.852,208.0,32.0,36.0,95.0,5.0,6.0,4.0,2.0,20.0,145.70542416570717
52614.0,0.23600000000000002,113.0,32.0,32.0,90.0,5.0,11.0,7.0,4.0,15.0,42.28214674587273
52615.0,0.262,543.0,0.0,70.0,50.0,5.0,3.0,4.0,2.0,16.0,71.432406386856
52616.0,0.215,122.0,32.0,30.0,95.0,5.0,6.0,5.0,4.0,19.0,42.28214674587273
52617.0,0.14,395.0,32.0,53.0,50.0,7.0,12.0,8.0,3.0,17.0,42.28214674587273
52618.0,0.25,373.0,0.0,49.0,50.0,6.0,18.0,4.0,3.0,16.0,47.11130499174733
52619.0,0.833,434.0,34.0,54.0,72.0,5.0,4.0,2.0,4.0,20.0,145.70542416570717
52620.0,0.505,257.0,32.0,48.0,85.0,5.0,6.0,5.0,2.0,20.0,145.70542416570717
52621.0,0.33299999999999996,403.0,29.0,52.0,50.0,4.0,15.0,6.0,3.0,3.0,140.50445246814928
52622.0,1.0,241.0,0.0,40.0,50.0,5.0,12.0,4.0,0.0,16.0,145.70542416570717
52623.0,0.485,92.0,32.0,27.0,95.0,5.0,4.0,4.0,2.0,15.0,145.70542416570717
52624.0,0.45,536.0,32.0,63.0,72.0,5.0,8.0,6.0,2.0,6.0,145.70542416570717
52625.0,0.23800000000000002,152.0,29.0,31.0,70.0,8.0,5.0,1.0,4.0,19.0,42.28214674587273
52626.0,0.9159999999999999,108.0,0.0,30.0,64.0,1.0,5.0,1.0,1.0,10.0,145.70542416570717
52627.0,0.583,149.0,32.0,30.0,60.0,5.0,9.0,8.0,4.0,13.0,145.70542416570717
52628.0,0.003,72.0,32.0,24.0,80.0,2.0,12.0,8.0,4.0,15.0,42.28214674587273
52629.0,0.47100000000000003,299.0,29.0,51.0,80.0,8.0,13.0,3.0,0.0,17.0,145.70542416570717
52630.0,0.37,253.0,44.0,39.0,50.0,6.0,17.0,6.0,3.0,16.0,145.70542416570717
52631.0,0.7490000000000001,154.0,32.0,33.0,76.0,2.0,16.0,9.0,3.0,19.0,145.70542416570717
52632.0,0.7490000000000001,400.0,20.0,52.0,64.0,1.0,10.0,7.0,4.0,8.0,145.70542416570717
52633.0,0.9229999999999999,365.0,39.0,76.0,50.0,2.0,8.0,6.0,4.0,15.0,145.70542416570717
52634.0,0.057999999999999996,422.0,32.0,61.0,50.0,5.0,8.0,6.0,4.0,17.0,42.28214674587273
52635.0,0.289,192.0,32.0,34.0,50.0,5.0,10.0,6.0,4.0,7.0,88.34888328943308
52636.0,0.961,524.0,39.0,69.0,90.0,2.0,13.0,9.0,5.0,11.0,145.70542416570717
52637.0,0.833,149.0,32.0,33.0,80.0,5.0,4.0,4.0,2.0,15.0,145.70542416570717
52638.0,0.22899999999999998,36.0,32.0,21.0,140.0,5.0,9.0,6.0,5.0,11.0,42.28214674587273
52639.0,0.41600000000000004,219.0,32.0,36.0,72.0,5.0,3.0,4.0,2.0,14.0,145.70542416570717
52640.0,0.662,263.0,32.0,40.0,54.0,3.0,11.0,5.0,4.0,20.0,145.70542416570717
52641.0,0.034,479.0,32.0,58.0,50.0,5.0,4.0,4.0,1.0,18.0,42.28214674587273
52642.0,0.583,459.0,0.0,56.0,50.0,5.0,17.0,9.0,3.0,11.0,145.70542416570717
52643.0,0.41600000000000004,517.0,39.0,68.0,50.0,5.0,9.0,6.0,4.0,16.0,145.70542416570717
52644.0,0.41600000000000004,218.0,44.0,36.0,100.0,2.0,14.0,8.0,5.0,16.0,145.70542416570717
52645.0,0.33299999999999996,181.0,32.0,34.0,64.0,5.0,5.0,4.0,4.0,16.0,140.50445246814928
52646.0,0.249,459.0,39.0,82.0,50.0,5.0,6.0,6.0,2.0,16.0,47.11130499174733
52647.0,0.9159999999999999,245.0,34.0,38.0,50.0,7.0,8.0,3.0,4.0,6.0,145.70542416570717
52648.0,0.904,378.0,32.0,54.0,58.0,5.0,15.0,6.0,3.0,9.0,145.70542416570717
52649.0,0.67,16.0,13.0,34.0,95.0,5.0,4.0,5.0,1.0,15.0,145.70542416570717
52650.0,0.747,378.0,0.0,50.0,50.0,5.0,11.0,8.0,5.0,16.0,145.70542416570717
52651.0,0.6659999999999999,39.0,32.0,23.0,90.0,8.0,5.0,4.0,2.0,20.0,145.70542416570717
52652.0,0.9159999999999999,169.0,32.0,32.0,50.0,5.0,4.0,4.0,2.0,13.0,145.70542416570717
52653.0,0.364,142.0,32.0,31.0,61.0,5.0,11.0,7.0,4.0,15.0,145.70542416570717
52654.0,0.75,232.0,32.0,38.0,50.0,5.0,11.0,5.0,2.0,16.0,145.70542416570717
52655.0,0.17300000000000001,250.0,32.0,40.0,100.0,5.0,12.0,8.0,4.0,15.0,42.28214674587273
52656.0,0.611,40.0,5.0,37.0,85.0,5.0,7.0,3.0,2.0,11.0,145.70542416570717
52657.0,0.426,471.0,38.0,57.0,50.0,1.0,5.0,1.0,1.0,13.0,145.70542416570717
52658.0,0.25,421.0,20.0,55.0,50.0,5.0,6.0,4.0,2.0,15.0,47.11130499174733
52659.0,0.499,270.0,32.0,40.0,50.0,5.0,7.0,5.0,4.0,14.0,145.70542416570717
52660.0,0.769,482.0,34.0,61.0,50.0,3.0,11.0,5.0,4.0,17.0,145.70542416570717
52661.0,0.8740000000000001,391.0,0.0,51.0,50.0,5.0,4.0,4.0,1.0,18.0,145.70542416570717
52662.0,1.0,331.0,32.0,48.0,80.0,3.0,14.0,5.0,3.0,12.0,145.70542416570717
52663.0,0.045,267.0,32.0,46.0,72.0,8.0,6.0,1.0,4.0,17.0,42.28214674587273
52664.0,0.43799999999999994,403.0,39.0,69.0,69.0,5.0,6.0,5.0,2.0,3.0,145.70542416570717
52665.0,0.33299999999999996,196.0,29.0,34.0,50.0,5.0,10.0,6.0,4.0,8.0,140.50445246814928
52666.0,0.8809999999999999,281.0,32.0,42.0,95.0,3.0,13.0,5.0,3.0,15.0,145.70542416570717
52667.0,0.833,534.0,39.0,63.0,50.0,1.0,21.0,9.0,3.0,13.0,145.70542416570717
52668.0,0.491,660.0,39.0,75.0,50.0,4.0,10.0,6.0,4.0,16.0,145.70542416570717
52669.0,0.759,541.0,39.0,63.0,69.0,5.0,13.0,6.0,5.0,16.0,145.70542416570717
52670.0,0.158,411.0,39.0,61.0,50.0,5.0,6.0,4.0,1.0,16.0,42.28214674587273
52671.0,0.33299999999999996,129.0,32.0,42.0,85.0,7.0,12.0,8.0,4.0,10.0,140.50445246814928
52672.0,0.583,360.0,32.0,48.0,50.0,5.0,5.0,5.0,2.0,14.0,145.70542416570717
52673.0,0.6659999999999999,157.0,32.0,55.0,100.0,5.0,8.0,6.0,4.0,11.0,145.70542416570717
52674.0,0.7490000000000001,377.0,32.0,51.0,50.0,6.0,9.0,3.0,5.0,15.0,145.70542416570717
52675.0,0.066,128.0,32.0,29.0,60.0,5.0,15.0,9.0,3.0,8.0,42.28214674587273
52676.0,0.41600000000000004,639.0,39.0,75.0,50.0,2.0,15.0,9.0,5.0,12.0,145.70542416570717
52677.0,0.14300000000000002,86.0,32.0,25.0,80.0,5.0,2.0,3.0,2.0,18.0,42.28214674587273
52678.0,0.047,354.0,29.0,49.0,50.0,7.0,12.0,8.0,5.0,11.0,42.28214674587273
52679.0,0.25,159.0,34.0,54.0,100.0,5.0,1.0,2.0,2.0,17.0,47.11130499174733
52680.0,0.6659999999999999,29.0,32.0,26.0,90.0,5.0,2.0,2.0,2.0,13.0,145.70542416570717
52681.0,0.75,536.0,32.0,62.0,57.0,5.0,7.0,4.0,4.0,15.0,145.70542416570717
52682.0,0.728,587.0,39.0,73.0,50.0,7.0,13.0,7.0,5.0,7.0,145.70542416570717
52683.0,0.075,356.0,29.0,49.0,118.0,5.0,8.0,4.0,2.0,17.0,42.28214674587273
52684.0,0.9079999999999999,92.0,32.0,27.0,80.0,5.0,3.0,1.0,2.0,4.0,145.70542416570717
52685.0,1.0,634.0,39.0,75.0,50.0,5.0,7.0,7.0,2.0,20.0,145.70542416570717
52686.0,0.33,283.0,32.0,41.0,50.0,4.0,10.0,6.0,4.0,16.0,140.50445246814928
52687.0,0.005,440.0,34.0,56.0,50.0,5.0,16.0,8.0,3.0,15.0,42.28214674587273
52688.0,0.583,170.0,32.0,32.0,50.0,5.0,8.0,8.0,2.0,7.0,145.70542416570717
52689.0,0.345,500.0,38.0,60.0,50.0,5.0,9.0,6.0,4.0,7.0,145.70542416570717
52690.0,0.009000000000000001,196.0,20.0,34.0,50.0,5.0,11.0,8.0,5.0,20.0,42.28214674587273
52691.0,0.19699999999999998,628.0,39.0,74.0,50.0,5.0,10.0,7.0,5.0,19.0,42.28214674587273
52692.0,0.9079999999999999,338.0,32.0,54.0,50.0,5.0,7.0,4.0,2.0,17.0,145.70542416570717
52693.0,0.195,118.0,32.0,33.0,76.0,8.0,4.0,0.0,0.0,15.0,42.28214674587273
52694.0,0.5,257.0,32.0,46.0,100.0,5.0,3.0,3.0,1.0,20.0,145.70542416570717
52695.0,0.5,76.0,34.0,25.0,85.0,5.0,3.0,2.0,1.0,20.0,145.70542416570717
52696.0,0.106,150.0,32.0,30.0,60.0,1.0,10.0,7.0,4.0,16.0,42.28214674587273
52697.0,0.087,233.0,32.0,50.0,50.0,5.0,4.0,3.0,2.0,20.0,42.28214674587273
52698.0,0.083,83.0,32.0,31.0,95.0,5.0,9.0,7.0,4.0,13.0,42.28214674587273
52699.0,0.428,185.0,32.0,35.0,76.0,2.0,3.0,1.0,1.0,7.0,145.70542416570717
52700.0,0.027999999999999997,448.0,39.0,79.0,54.0,4.0,11.0,6.0,4.0,1.0,42.28214674587273
52701.0,0.316,110.0,34.0,30.0,100.0,5.0,3.0,3.0,1.0,10.0,140.50445246814928
52702.0,0.071,122.0,34.0,30.0,72.0,5.0,10.0,7.0,4.0,18.0,42.28214674587273
52703.0,0.7170000000000001,387.0,32.0,50.0,50.0,5.0,6.0,4.0,2.0,12.0,145.70542416570717
52704.0,0.166,95.0,32.0,26.0,68.0,5.0,6.0,4.0,2.0,12.0,42.28214674587273
52705.0,0.083,588.0,39.0,68.0,50.0,5.0,13.0,7.0,3.0,19.0,42.28214674587273
52706.0,0.8740000000000001,468.0,32.0,57.0,50.0,5.0,7.0,4.0,4.0,17.0,145.70542416570717
52707.0,0.25,498.0,0.0,60.0,55.0,2.0,15.0,9.0,5.0,9.0,47.11130499174733
52708.0,0.33299999999999996,77.0,32.0,25.0,95.0,5.0,3.0,2.0,2.0,16.0,140.50445246814928
52709.0,0.833,244.0,32.0,42.0,125.0,6.0,12.0,0.0,3.0,3.0,145.70542416570717
52710.0,0.249,280.0,32.0,42.0,50.0,2.0,9.0,6.0,0.0,18.0,47.11130499174733
52711.0,0.36,252.0,34.0,40.0,50.0,1.0,9.0,6.0,4.0,12.0,145.70542416570717
52712.0,0.897,212.0,32.0,36.0,56.0,4.0,10.0,5.0,4.0,16.0,145.70542416570717
52713.0,0.8590000000000001,349.0,32.0,48.0,50.0,5.0,12.0,7.0,5.0,7.0,145.70542416570717
52714.0,0.113,320.0,34.0,46.0,50.0,6.0,13.0,9.0,5.0,16.0,42.28214674587273
52715.0,0.136,360.0,32.0,48.0,50.0,0.0,17.0,6.0,0.0,16.0,42.28214674587273
52716.0,0.166,362.0,32.0,50.0,50.0,5.0,16.0,9.0,3.0,11.0,42.28214674587273
52717.0,0.083,300.0,44.0,43.0,50.0,8.0,13.0,6.0,0.0,16.0,42.28214674587273
52718.0,0.213,444.0,34.0,57.0,80.0,5.0,6.0,5.0,4.0,17.0,42.28214674587273
52719.0,0.506,777.0,39.0,81.0,50.0,5.0,4.0,3.0,1.0,8.0,145.70542416570717
52720.0,0.37,105.0,32.0,32.0,90.0,5.0,9.0,7.0,4.0,15.0,145.70542416570717
52721.0,0.039,363.0,32.0,60.0,50.0,5.0,7.0,6.0,2.0,19.0,42.28214674587273
52722.0,0.249,162.0,29.0,40.0,76.0,8.0,11.0,1.0,0.0,18.0,47.11130499174733
52723.0,0.07200000000000001,54.0,32.0,23.0,90.0,5.0,4.0,4.0,1.0,11.0,42.28214674587273
52724.0,0.249,44.0,32.0,24.0,90.0,5.0,6.0,5.0,4.0,16.0,47.11130499174733
52725.0,0.431,145.0,32.0,30.0,95.0,3.0,16.0,8.0,3.0,15.0,145.70542416570717
52726.0,0.248,350.0,0.0,65.0,80.0,2.0,10.0,6.0,5.0,10.0,47.11130499174733
52727.0,0.6809999999999999,262.0,32.0,56.0,85.0,5.0,10.0,6.0,3.0,11.0,145.70542416570717
52728.0,0.5,464.0,32.0,56.0,50.0,5.0,9.0,7.0,2.0,16.0,145.70542416570717
52729.0,0.025,199.0,32.0,35.0,57.0,7.0,14.0,7.0,5.0,12.0,42.28214674587273
52730.0,0.392,135.0,34.0,30.0,80.0,5.0,5.0,3.0,2.0,15.0,145.70542416570717
52731.0,0.7490000000000001,41.0,32.0,22.0,100.0,5.0,12.0,8.0,5.0,3.0,145.70542416570717
52732.0,0.064,153.0,32.0,33.0,72.0,1.0,12.0,7.0,4.0,19.0,42.28214674587273
52733.0,0.25,155.0,32.0,31.0,95.0,5.0,8.0,5.0,4.0,5.0,47.11130499174733
52734.0,0.321,504.0,44.0,61.0,50.0,1.0,11.0,4.0,4.0,15.0,140.50445246814928
52735.0,0.499,108.0,32.0,28.0,80.0,5.0,3.0,3.0,1.0,17.0,145.70542416570717
52736.0,0.225,330.0,34.0,50.0,50.0,5.0,8.0,4.0,2.0,13.0,42.28214674587273
52737.0,0.002,26.0,32.0,25.0,95.0,5.0,7.0,4.0,4.0,20.0,42.28214674587273
52738.0,0.586,475.0,39.0,61.0,50.0,5.0,9.0,6.0,4.0,20.0,145.70542416570717
52739.0,0.871,536.0,0.0,72.0,50.0,5.0,3.0,2.0,2.0,11.0,145.70542416570717
52740.0,0.166,224.0,32.0,36.0,50.0,5.0,7.0,4.0,2.0,8.0,42.28214674587273
52741.0,0.41600000000000004,555.0,0.0,65.0,64.0,2.0,19.0,9.0,3.0,17.0,145.70542416570717
52742.0,0.318,212.0,32.0,36.0,80.0,5.0,12.0,7.0,5.0,20.0,140.50445246814928
52743.0,0.249,388.0,34.0,51.0,50.0,5.0,3.0,3.0,1.0,15.0,47.11130499174733
52744.0,0.009000000000000001,288.0,39.0,62.0,90.0,5.0,3.0,2.0,2.0,13.0,42.28214674587273
52745.0,0.166,337.0,25.0,52.0,57.0,1.0,12.0,8.0,4.0,19.0,42.28214674587273
52746.0,0.9159999999999999,167.0,34.0,33.0,64.0,5.0,5.0,4.0,2.0,13.0,145.70542416570717
52747.0,0.9159999999999999,66.0,32.0,24.0,80.0,5.0,2.0,4.0,2.0,14.0,145.70542416570717
52748.0,0.9159999999999999,304.0,32.0,45.0,88.0,5.0,5.0,3.0,2.0,13.0,145.70542416570717
52749.0,0.6659999999999999,323.0,32.0,45.0,50.0,5.0,9.0,5.0,5.0,19.0,145.70542416570717
52750.0,0.138,385.0,32.0,50.0,50.0,8.0,2.0,2.0,2.0,1.0,42.28214674587273
52751.0,0.25,391.0,32.0,51.0,50.0,2.0,4.0,1.0,1.0,8.0,47.11130499174733
52752.0,0.733,310.0,32.0,44.0,58.0,5.0,9.0,6.0,2.0,11.0,145.70542416570717
52753.0,0.5,51.0,32.0,30.0,95.0,5.0,4.0,3.0,1.0,9.0,145.70542416570717
